name,image,link,no_of_ratings,discount_price,actual_price,rating,review_text,brand,cleaned_review_text,sentiment
OnePlus Nord CE 2 Lite 5G Blue Tide 6GB RAM 128GB Storage,https://m.media-amazon.com/images/I/71AvQd3VzqL._AC_UL320_.jpg,https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B09WQYFLRX/ref=sr_1_5?qid=1679133649&s=electronics&sr=1-5,113956.0,18999.0,19999.0,1.0,Very bad experience with this device xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.,OnePlus,bad experience device xr phone back camera found defective non functional amazon careless havent got response confirmation replacing hanging damaged piece worth rupee,Negative
OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic Bombastic Bass  124 Mm Drivers 10 Mins Charge  20 Hrs,https://m.media-amazon.com/images/I/51UhwaQXCpL._AC_UL320_.jpg,https://www.amazon.in/Oneplus-Bluetooth-Wireless-Earphones-Bombastic/dp/B09TVVGXWS/ref=sr_1_6?qid=1679133649&s=electronics&sr=1-6,90304.0,1999.0,2299.0,5.0,Amazing phone with amazing camera coming from device 7 plus great service from amazon,OnePlus,amazing phone amazing camera coming device plus great service amazon,Positive
Samsung Galaxy M33 5G Mystique Green 6GB 128GB Storage  6000mAh Battery  Upto 12GB RAM with RAM Plus  Travel Adapte,https://m.media-amazon.com/images/I/81I3w4J6yjL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Mystique-Storage-Purchased-Separately/dp/B09TWGDY4W/ref=sr_1_7?qid=1679133649&s=electronics&sr=1-7,24863.0,15999.0,24999.0,1.0,"So I got the device XR just today. The product looks amazing. But unfortunately the Face ID is not working and there’s a glitch in the front camera’s portrait mode. That’s fine, it may happen. But what’s not fine is the pathetic service provided by amazon and apple. Firstly, amazon takes no responsibility of the product once sold. Talking about the giant, apple, the so called market leaders. Went to the service centre, after running a diagnostic the solution they came up with is sending the phone to Bangalore for repair. Like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product. And also to mention, amazon.in is not an authorised apple reseller. I guess this issue will be escalated to the consumer court. Thank you amazon and apple!",Samsung,got device xr today product look amazing unfortunately face id working there glitch front camera portrait mode thats fine may happen whats fine pathetic service provided amazon apple firstly amazon take responsibility product sold talking giant apple called market leader went service centre running diagnostic solution came sending phone bangalore repair like sending new phone repair practical solution company provides charging bomb product also mention amazonin authorised apple reseller guess issue escalated consumer court thank amazon apple,Negative
OnePlus Nord CE 2 Lite 5G Black Dusk 6GB RAM 128GB Storage,https://m.media-amazon.com/images/I/71V--WZVUIL._AC_UL320_.jpg,https://www.amazon.in/OnePlus-Nord-Black-128GB-Storage/dp/B09WQY65HN/ref=sr_1_8?qid=1679133649&s=electronics&sr=1-8,113956.0,18999.0,19999.0,5.0,"I've been an android user all my life until I decided to try device XR for iOS. Loving the camera and battery life is an absolute joy to have. It's been more than one month since I got this phone and I'm loving it. Face ID works flawlessly even in the dark and the dual sim function is working like a charm, I'm using Vodafone as my primary sim and Jio as e-sim and have faced no problem whatsoever.",OnePlus,ive android user life decided try device xr io loving camera battery life absolute joy one month since got phone im loving face id work flawlessly even dark dual sim function working like charm im using vodafone primary sim jio esim faced problem whatsoever,Positive
Redmi 10 Power Sporty Orange 8GB RAM 128GB Storage,https://m.media-amazon.com/images/I/81OZGH4fZiL._AC_UL320_.jpg,https://www.amazon.in/Redmi-Power-Sporty-Orange-Storage/dp/B09Y5WPXGW/ref=sr_1_9?qid=1679133649&s=electronics&sr=1-9,625.0,10999.0,18999.0,1.0,I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online,Redmi,delivered phone work immediately removing box able return need first check apple apple service told phone lying without charge since month hence battery failed leave phone apple repair waiting replace battery please answer run around sub par quality device shipped dead phone last time ever purchase phone online,Negative
boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic 42H Playtime Beast ModeLow Latency Upto 80ms for Ga,https://m.media-amazon.com/images/I/51HBom8xz7L._AC_UL320_.jpg,https://www.amazon.in/Airdopes-141-Playtime-Resistance-Bluetooth/dp/B09N3ZNHTY/ref=sr_1_10?qid=1679133649&s=electronics&sr=1-10,172347.0,1299.0,3995.0,5.0,"It has been a month since I started using my device XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this device. Spent so many days to decide on the colour, but opted for white, and I’m very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase.",boAt,month since started using device xr experience awesome excellent battery life smooth operating system dual sim functionality best feature device spent many day decide colour opted white im happy coral also good colour option bought wife issue bothering time taken charge phone need opt overnight charging extremely happy purchase,Positive
Apple 20W USBC Power Adapter for iPhone iPad  AirPods,https://m.media-amazon.com/images/I/61vtLhO6fDL._AC_UL320_.jpg,https://www.amazon.in/Apple-USB-C-Adapter-iPhone-AirPods/dp/B08L5WWFCY/ref=sr_1_11?qid=1679133649&s=electronics&sr=1-11,61748.0,1589.0,1900.0,1.0,The phone is hanging. Video quality is not very good.,Apple,phone hanging video quality good,Negative
FireBoltt Ninja Call Pro Plus 183 Smart Watch with Bluetooth Calling AI Voice Assistance 100 Sports Modes IP67 Ratin,https://m.media-amazon.com/images/I/61S9aVnRZDL._AC_UL320_.jpg,https://www.amazon.in/Fire-Boltt-Bluetooth-Calling-Assistance-Resolution/dp/B0BF57RN3K/ref=sr_1_12?qid=1679133649&s=electronics&sr=1-12,16949.0,1799.0,19999.0,4.0,I'll use this review to mostly say what I'm not a fan of in this particular device model.,FireBoltt,ill use review mostly say im fan particular device model,Positive
Samsung Galaxy M33 5G Emerald Brown 6GB 128GB Storage  6000mAh Battery  Upto 12GB RAM with RAM Plus  Travel Adapter,https://m.media-amazon.com/images/I/81lnKynSaqL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Emerald-Storage-Purchased-Separately/dp/B0B14MR9L1/ref=sr_1_15?qid=1679133649&s=electronics&sr=1-15,24863.0,15999.0,24999.0,1.0,Went with the device XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the device 6 for four seamless years.,Samsung,went device xr month considerationamazon offering really good discount felt time right upgrade used device four seamless year,Negative
Redmi A1 Light Blue 2GB RAM 32GB Storage  Segment Best AI Dual Cam  5000mAh Battery  Leather Texture Design  Andro,https://m.media-amazon.com/images/I/81UT07JsBqL._AC_UL320_.jpg,https://www.amazon.in/Redmi-Storage-Segment-5000mAh-Battery/dp/B0BBN4DZBD/ref=sr_1_17?qid=1679133649&s=electronics&sr=1-17,11100.0,5899.0,8999.0,1.0,Very bad experience with this device xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.,Redmi,bad experience device xr phone back camera found defective non functional amazon careless havent got response confirmation replacing hanging damaged piece worth rupee,Negative
